,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,dt_year,dt_month,dt_dayofweek,AgeuponOutcome_days,sex,desexed,Breed_is_mix,dogsize
32,A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,2014,7,3,60.0,Female,Yes,True,u
33,A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black,2013,11,4,1825.0,Male,Yes,False,m
34,A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,2015,4,5,1095.0,Male,Yes,True,s
35,A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow,2013,12,4,1095.0,Male,No,True,m
36,A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,2013,10,3,1095.0,Male,Yes,True,m
37,A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White,2014,7,2,60.0,Male,No,True,u
38,A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,2015,8,1,120.0,Male,Yes,True,u
39,A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,2015,7,1,21.0,Male,No,True,u
40,A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,2015,4,5,2555.0,Female,Yes,True,u
41,A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,2015,6,1,60.0,Male,No,True,u
42,A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,2013,12,0,60.0,Female,No,True,u
43,A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White,2014,1,1,1460.0,Male,No,True,u
44,A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,2014,5,2,730.0,Male,Yes,True,u
45,A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor,2014,8,2,4380.0,Male,Yes,False,m
46,A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black,2014,8,1,3285.0,Female,Yes,True,u
47,A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,2015,5,1,21.0,Female,No,True,u
48,A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,2015,3,0,150.0,Female,Yes,True,l
49,A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White,2013,10,2,2190.0,Male,No,False,m
50,A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,2014,7,0,365.0,Female,No,True,u
51,A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,2015,10,0,90.0,Female,Yes,True,u
52,A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,2014,6,3,21.0,Female,No,True,u
53,A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White,2015,5,3,730.0,Male,Yes,True,u
54,A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,2014,11,1,60.0,Female,Yes,True,u
55,A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,2015,10,6,7.0,Male,No,True,u
56,A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,2015,8,6,60.0,Female,Yes,True,u
57,A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,2014,7,4,365.0,Male,No,True,s
58,A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black,2014,9,1,1460.0,Female,Yes,True,u
59,A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White,2014,7,0,730.0,Male,Yes,False,s
60,A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,2015,8,2,365.0,Male,No,True,u
61,A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black,2014,5,4,4015.0,Female,Yes,True,s
62,A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,2015,10,1,30.0,Female,No,True,u
63,A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White,2015,9,2,730.0,Female,Yes,True,s
64,A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,2014,7,3,14.0,,,True,u
65,A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White,2015,10,1,2190.0,Female,Yes,True,s
66,A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White,2014,12,0,180.0,Male,Yes,True,m
67,A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff,2015,9,1,60.0,Female,No,False,m
68,A705258,,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White,2015,6,1,60.0,,,True,u
69,A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red,2014,5,5,365.0,Female,Yes,True,s
70,A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown,2014,4,2,60.0,Male,Yes,True,l
71,A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,2016,1,4,730.0,Male,Yes,True,m
72,A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White,2014,3,1,1095.0,Female,Yes,False,l
73,A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,2015,8,1,365.0,Female,No,True,u
74,A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan,2013,12,5,1460.0,Female,Yes,True,s
75,A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,2015,8,2,730.0,Female,Yes,False,m
76,A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby,2014,6,6,90.0,Female,Yes,False,u
77,A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,2014,3,4,365.0,Female,No,True,u
78,A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black,2015,6,6,60.0,Male,Yes,False,m
79,A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,2015,12,6,730.0,Female,Yes,True,u
80,A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White,2015,12,3,365.0,Male,Yes,False,s
81,A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,2015,9,1,14.0,,,True,u
82,A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point,2015,5,5,28.0,,,True,u
83,A713690,,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby,2015,10,0,730.0,Male,No,True,u
84,A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle,2015,2,0,4380.0,Male,Yes,True,m
85,A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White,2014,9,6,365.0,Male,Yes,False,s
86,A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2015,7,5,60.0,Male,Yes,True,u
87,A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,2015,7,1,14.0,Male,No,True,u
88,A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White,2014,4,5,90.0,Female,No,True,m
89,A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico,2013,11,0,90.0,Female,Yes,True,u
90,A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White,2015,12,1,150.0,Male,Yes,True,m
91,A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,2016,2,6,1095.0,Female,Yes,False,m
92,A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black,2014,4,3,2555.0,Female,Yes,False,s
93,A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan,2015,2,4,730.0,Female,Yes,True,l
94,A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,2014,12,0,120.0,Female,Yes,True,u
95,A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown,2015,11,6,3285.0,Female,Yes,False,m
96,A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White,2015,12,6,210.0,Male,Yes,True,m
97,A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2014,7,0,60.0,Male,Yes,True,u
98,A690658,,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White,2014,10,4,1095.0,Male,No,True,u
99,A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray,2015,1,2,1095.0,Male,Yes,True,s
100,A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,2014,5,3,1825.0,Male,Yes,True,s
101,A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White,2016,1,3,1825.0,Male,Yes,True,m
102,A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue,2013,10,2,14.0,Female,No,True,u
103,A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,2015,7,6,14.0,,,True,u
104,A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie,2014,1,3,1460.0,Female,Yes,True,u
105,A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White,2015,4,2,1460.0,Male,Yes,True,s
106,A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2015,7,6,60.0,Male,Yes,True,u
107,A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,2013,12,4,730.0,Female,Yes,True,s
108,A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White,2014,3,6,730.0,Male,Yes,True,l
109,A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown,2014,3,5,3285.0,Male,Yes,True,s
110,A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor,2014,2,1,1825.0,Male,Yes,True,m
111,A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,2013,12,4,365.0,Male,Yes,False,s
112,A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,2013,10,6,730.0,Female,Yes,True,m
113,A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,2014,5,1,21.0,Male,No,True,u
114,A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,2015,7,0,150.0,Male,No,True,m
115,A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby,2015,1,0,2190.0,Male,No,True,u
116,A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,2014,3,5,365.0,Female,Yes,True,s
117,A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White,2015,11,3,90.0,Male,No,True,s
118,A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico,2015,10,5,30.0,Female,No,True,u
119,A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,2015,5,6,1095.0,Female,Yes,True,s
120,A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black,2014,4,0,1825.0,Male,Yes,True,s
121,A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black,2014,5,0,2920.0,Male,Yes,False,s
122,A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,2014,9,6,60.0,Female,Yes,True,m
123,A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie,2014,11,4,2555.0,Female,No,True,u
124,A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,2014,10,4,60.0,Female,No,True,u
125,A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black,2014,9,3,1825.0,Male,Yes,False,m
126,A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown,2016,1,6,365.0,Male,Yes,True,m
127,A686520,,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,2014,8,6,90.0,Male,No,True,u
128,A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,2015,3,6,730.0,Male,Yes,True,s
129,A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White,2015,1,6,3285.0,Female,Yes,True,m
130,A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White,2015,10,3,1095.0,Female,Yes,True,m
131,A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,2015,10,0,1095.0,Female,Yes,True,u
132,A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White,2016,1,4,365.0,Female,Yes,False,s
133,A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,2015,1,4,730.0,Female,Yes,True,s
134,A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle,2015,12,1,365.0,Female,Yes,False,m
135,A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point,2014,6,1,730.0,Male,Yes,True,u
136,A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown,2015,5,5,730.0,Female,Yes,True,s
137,A681481,,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White,2014,6,2,730.0,Female,No,True,u
138,A714177,,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie,2015,10,1,90.0,,,True,u
139,A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor,2014,11,6,30.0,Female,Yes,False,s
140,A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,2014,8,1,60.0,Male,Yes,True,u
141,A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby,2014,2,6,300.0,Male,Yes,True,u
142,A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White,2016,2,1,730.0,Female,Yes,True,u
143,A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,2015,6,6,60.0,Female,Yes,True,u
144,A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow,2015,11,6,180.0,Male,Yes,True,m
145,A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2015,11,5,60.0,Female,Yes,True,u
146,A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan,2014,9,4,365.0,Female,Yes,True,s
147,A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White,2014,10,2,180.0,Female,No,True,s
148,A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,2014,6,6,365.0,Female,Yes,True,u
149,A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico,2014,9,4,21.0,Male,No,True,u
150,A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,2016,2,4,730.0,Male,Yes,True,u
151,A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White,2015,11,5,330.0,Female,Yes,True,u
152,A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor,2014,3,0,90.0,Male,Yes,True,s
153,A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown,2014,2,0,730.0,Female,Yes,False,s
154,A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red,2014,9,5,730.0,Male,Yes,True,m
155,A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,2015,8,5,730.0,Male,Yes,True,m
156,A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico,2014,7,3,120.0,Female,Yes,False,u
157,A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red,2014,8,0,120.0,Female,No,False,s
158,A688067,,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie,2014,9,0,150.0,Female,No,True,u
159,A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White,2015,12,2,60.0,Male,Yes,True,u
